"list_qn";"list_desc"
"autocorr.m";"(autocorrelation plots)"
"SMSboxcar";"(Boxplot car mileage)"
"MVAMDScity1";"(map of the cities)"
"SFEVolSurfPlot";"(implied volatility surface)"
"SFSmeanExcessFun";"(generalized Pareto distribution)"
"SFEBSCopt1";"(price of a call)"
"MVAnpcabank";"(PCA for Swiss bank notes)"
"SFSautoparcorr";"(ACF & PACF for returns)"
"SFEplotCop";"(Gaussian copula with 2 dimensions)"
"SFEGBMProcess";"(simulation of GBM)"
"SFEgaussCop";"(Gaussian distibution & density plots)"
"SFEfrechet";"(Frechet-Hoeffding bound & product plots)"
"SFEdelta";"(Delta of a call option)"
"SFEBinomp";"(plots of generated binomial processes)"
"SPMcps85dist";"(distribution of wages 1985)"
"MVAclusbank";"(PCA & cluster for Swiss bank notes)"
"MVACARTBan1";"(US bankruptcy analysis)"
"MVAandcur";"(Andrew's curves)"
"SFSarch";"(volatility processes)"
"MVApcabanki";"(Eigenvalues of PCA)"
"MVApcasimu";"(point cloud projection)"
"SFSbutterfly";"(butterfly option strategy)"
"MVAMDScity2";"(oriented map of the cities)"
"CIRml";"(CIR model likelihood)"
"MVAcontbank2";"(kernel density estimate)"
"SFE_arfima";"(arfima time series)"
"blsprice";"(Black-Scholes price function)"
"MVApcabank";"(PCA for Swiss bank notes)"
"MVAMDSpooladj";"(pool adjacent violator)"
"MVAnpcafood";"(PCA of French food data)"
"IBTblackscholes";"(call & put options - Black Scholes)"
"BaseCorrGaussModelCDO";"(base tranche correlation for a Gaussian credit default model)"
"MVA3svm01";"(NA)"
